epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6933,1.51677,3.4987,1.42876,0.00746,0.72058,0.20253,0.13216,1.16644,3.88314,1.32041,5.716e-05,5.716e-05,5.716e-05
2,26.1159,1.07539,2.99455,1.16703,0.00885,0.87174,0.28275,0.18443,1.17914,3.64793,1.22775,0.000127973,0.000127973,0.000127973
3,37.3696,0.95615,2.29762,1.08806,0.01041,0.95971,0.38914,0.27562,1.14175,3.37212,1.15915,0.000198079,0.000198079,0.000198079
4,48.4802,0.89778,1.72737,1.0301,0.83346,0.11375,0.53098,0.36931,1.0612,3.18513,1.0982,0.000267478,0.000267478,0.000267478
5,59.0768,0.84247,1.48685,1.00002,0.53029,0.76232,0.69029,0.43644,1.09657,3.14043,1.13442,0.000336169,0.000336169,0.000336169
6,69.5731,0.84715,1.42008,1.00579,0.76493,0.21285,0.6987,0.46711,1.11438,3.03827,1.09443,0.000404153,0.000404153,0.000404153
7,80.1494,0.78704,1.24034,0.96088,0.79108,0.23969,0.68333,0.49675,1.05527,2.97348,1.06654,0.00047143,0.00047143,0.00047143
8,90.9358,0.7738,1.10812,0.96511,0.8226,0.33484,0.74418,0.53618,1.11303,2.75969,1.06937,0.000537999,0.000537999,0.000537999
9,101.806,0.7979,1.07847,0.97584,0.72728,0.33928,0.62115,0.44156,1.33641,3.0235,1.20042,0.000603861,0.000603861,0.000603861
10,112.76,0.86773,1.13102,0.97527,0.78624,0.40766,0.61893,0.42568,1.16659,3.01383,1.16632,0.000669016,0.000669016,0.000669016
11,123.438,0.85806,1.08776,0.98395,0.82895,0.63753,0.80055,0.55758,1.14352,2.71254,1.07361,0.000733463,0.000733463,0.000733463
12,134.161,0.80767,1.04064,0.98305,0.81983,0.70945,0.84902,0.59236,1.2173,2.38097,1.13546,0.000797203,0.000797203,0.000797203
13,144.817,0.75395,0.95946,0.93243,0.87453,0.74008,0.86147,0.58646,1.21198,2.31925,1.11491,0.000860235,0.000860235,0.000860235
14,155.618,0.73357,0.90128,0.94002,0.79024,0.64594,0.77243,0.56942,1.11063,2.599,1.17816,0.00092256,0.00092256,0.00092256
15,166.464,0.73079,0.89748,0.93701,0.77648,0.82134,0.92709,0.6648,1.11384,2.10882,1.18011,0.000984178,0.000984178,0.000984178
16,177.465,0.79516,0.95285,0.97398,0.84654,0.79193,0.9266,0.67906,1.07031,2.03039,1.12954,0.00104509,0.00104509,0.00104509
17,188.271,0.79213,0.92901,0.96123,0.82337,0.7915,0.88042,0.64006,1.2184,2.2211,1.10011,0.00110529,0.00110529,0.00110529
18,199.128,0.69621,0.8731,0.92831,0.80812,0.7569,0.83044,0.60708,1.3027,2.17318,1.1639,0.00116479,0.00116479,0.00116479
19,210.318,0.72369,0.89302,0.95777,0.82322,0.75614,0.83969,0.62649,1.181,2.09729,1.13043,0.00122358,0.00122358,0.00122358
20,221.781,0.78587,0.92629,0.96397,0.83848,0.77118,0.84808,0.62706,1.07338,2.08556,1.07699,0.00128166,0.00128166,0.00128166
21,233.188,0.7147,0.86583,0.94122,0.87947,0.79582,0.89338,0.64951,1.27755,2.04674,1.15301,0.00128753,0.00128753,0.00128753
22,244.404,0.77243,0.88052,0.95888,0.90754,0.82131,0.91445,0.66336,1.02545,1.90591,1.04457,0.00128046,0.00128046,0.00128046
23,255.507,0.74504,0.85094,0.95563,0.93386,0.8438,0.92082,0.69686,0.88415,1.7077,1.01487,0.00127338,0.00127338,0.00127338
24,266.6,0.72331,0.79304,0.93503,0.83798,0.85362,0.93739,0.70449,1.00178,1.65111,1.04688,0.00126631,0.00126631,0.00126631
25,278.034,0.77672,0.88926,0.96087,0.80733,0.88348,0.92634,0.68382,1.04892,1.61918,1.05243,0.00125923,0.00125923,0.00125923
26,289.364,0.70697,0.81551,0.93411,0.78219,0.84906,0.89403,0.65446,1.04682,1.57988,1.051,0.00125216,0.00125216,0.00125216
27,300.223,0.71173,0.8033,0.92648,0.94923,0.75664,0.94349,0.70895,1.00449,1.69557,1.04779,0.00124509,0.00124509,0.00124509
28,311.045,0.71064,0.80937,0.92615,0.9088,0.84405,0.94071,0.70609,0.91869,1.62711,1.02721,0.00123801,0.00123801,0.00123801
29,321.8,0.71193,0.75915,0.92572,0.89294,0.901,0.94039,0.71177,0.96323,1.43149,1.02618,0.00123094,0.00123094,0.00123094
30,332.893,0.69459,0.76036,0.9354,0.9049,0.90907,0.9396,0.72585,0.9704,1.46655,1.0035,0.00122387,0.00122387,0.00122387
31,343.982,0.70997,0.75242,0.95532,0.91564,0.87957,0.93394,0.71131,0.95847,1.39518,1.03349,0.00121679,0.00121679,0.00121679
32,355.034,0.70056,0.76567,0.94978,0.92969,0.87969,0.94294,0.74591,0.91747,1.30421,1.02009,0.00120972,0.00120972,0.00120972
33,365.848,0.66478,0.73781,0.93154,0.92676,0.8773,0.94629,0.74668,0.89305,1.35727,0.99577,0.00120265,0.00120265,0.00120265
34,376.773,0.70048,0.75276,0.94419,0.93293,0.88276,0.95718,0.76857,0.7887,1.24995,1.01697,0.00119557,0.00119557,0.00119557
35,387.722,0.68656,0.70164,0.93343,0.90915,0.91725,0.95567,0.75591,0.81736,1.22561,1.0157,0.0011885,0.0011885,0.0011885
36,398.85,0.71489,0.7154,0.92898,0.78952,0.88866,0.94419,0.74766,0.84223,1.25679,1.04345,0.00118143,0.00118143,0.00118143
37,409.976,0.66703,0.72322,0.94453,0.72158,0.85422,0.9175,0.72889,0.81632,1.32829,0.99147,0.00117435,0.00117435,0.00117435
38,420.995,0.63213,0.68182,0.91983,0.76912,0.90536,0.94805,0.7577,0.81239,1.24103,0.98911,0.00116728,0.00116728,0.00116728
39,431.87,0.68317,0.6796,0.92628,0.87337,0.87031,0.94799,0.73465,0.90889,1.24871,1.0307,0.00116021,0.00116021,0.00116021
40,442.663,0.7128,0.70451,0.93704,0.9365,0.82754,0.93604,0.73349,0.79432,1.36319,0.99441,0.00115313,0.00115313,0.00115313
41,453.628,0.66675,0.70684,0.94336,0.88851,0.86145,0.93495,0.73865,0.79813,1.31762,0.98211,0.00114606,0.00114606,0.00114606
42,464.677,0.64464,0.67922,0.92934,0.92567,0.85696,0.9458,0.75415,0.79402,1.23817,1.00928,0.00113898,0.00113898,0.00113898
43,475.55,0.65188,0.67553,0.92344,0.91343,0.86861,0.95402,0.76016,0.79172,1.17805,1.0061,0.00113191,0.00113191,0.00113191
44,486.319,0.64151,0.67528,0.91921,0.92665,0.90732,0.95724,0.78465,0.72347,1.16119,0.95746,0.00112484,0.00112484,0.00112484
45,497.067,0.59978,0.632,0.90324,0.91602,0.89425,0.95853,0.77943,0.73469,1.16782,0.95773,0.00111776,0.00111776,0.00111776
46,508.19,0.63458,0.66697,0.92017,0.90404,0.91926,0.95796,0.79252,0.72144,1.13831,0.95831,0.00111069,0.00111069,0.00111069
47,519.248,0.64969,0.66102,0.92226,0.91338,0.8971,0.95777,0.78717,0.73237,1.14694,0.95584,0.00110362,0.00110362,0.00110362
48,530.247,0.65547,0.63997,0.91025,0.93431,0.88155,0.96153,0.75535,0.85507,1.22598,0.96054,0.00109654,0.00109654,0.00109654
49,541.077,0.65172,0.66018,0.93886,0.92342,0.91254,0.96402,0.77114,0.79337,1.11301,0.95205,0.00108947,0.00108947,0.00108947
50,551.867,0.66439,0.64073,0.92723,0.92955,0.91449,0.9675,0.78997,0.71656,1.04107,0.93573,0.0010824,0.0010824,0.0010824
51,562.604,0.69269,0.64912,0.91181,0.92503,0.92887,0.96745,0.76209,0.81282,1.02462,0.94027,0.00107532,0.00107532,0.00107532
