epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.08117,1.12429,3.69208,1.1543,0.00315,0.5594,0.12359,0.06437,0.95471,3.99176,1.18677,1.429e-05,1.429e-05,1.429e-05
2,15.7341,0.93148,3.66302,1.04058,0.0035,0.61597,0.15449,0.08081,0.93365,3.9511,1.16444,4.24456e-05,4.24456e-05,4.24456e-05
3,22.122,1.01205,3.38218,1.10016,0.00379,0.68268,0.19867,0.10732,0.89729,3.90982,1.12827,7.00353e-05,7.00353e-05,7.00353e-05
4,28.2737,1.17214,3.18908,1.19234,0.00352,0.64993,0.22107,0.13242,0.87798,3.8855,1.09852,9.70591e-05,9.70591e-05,9.70591e-05
5,34.473,1.13274,2.80547,1.0665,0.00347,0.61361,0.21483,0.13113,0.87585,3.83677,1.07147,0.000123517,0.000123517,0.000123517
6,40.421,1.00624,2.11158,1.03369,0.00388,0.64514,0.23557,0.15558,0.87404,3.75551,1.07686,0.000149409,0.000149409,0.000149409
7,46.397,0.83797,2.06825,0.90154,0.00385,0.66836,0.27161,0.17398,0.84735,3.65085,1.07144,0.000174735,0.000174735,0.000174735
8,52.1084,0.88922,2.12579,0.95301,0.00428,0.73146,0.30922,0.19633,0.79117,3.60047,1.03968,0.000199496,0.000199496,0.000199496
9,57.746,0.93309,1.8928,1.01758,0.00441,0.75349,0.313,0.20514,0.77607,3.6003,1.00684,0.00022369,0.00022369,0.00022369
10,63.3528,0.84127,1.79651,0.9819,0.00473,0.78563,0.31818,0.21749,0.75282,3.59726,0.98528,0.000247318,0.000247318,0.000247318
11,68.8589,0.97674,2.0819,0.98235,0.00493,0.8148,0.33395,0.23633,0.74792,3.58028,0.98817,0.000270381,0.000270381,0.000270381
12,74.171,1.17636,2.05398,1.12814,0.00524,0.85172,0.35947,0.25846,0.77214,3.54175,0.99658,0.000292878,0.000292878,0.000292878
13,79.4473,0.85431,1.7554,0.973,0.00542,0.87614,0.40072,0.29872,0.80552,3.50511,0.99037,0.000314809,0.000314809,0.000314809
14,84.8339,0.80293,1.71808,0.96631,0.00529,0.85947,0.43108,0.31893,0.8102,3.46617,0.98992,0.000336174,0.000336174,0.000336174
15,90.1347,0.84165,1.64247,0.93047,0.00552,0.89639,0.48725,0.36962,0.79636,3.39626,0.97487,0.000356973,0.000356973,0.000356973
16,95.4534,0.9542,1.59499,1.00082,0.66667,0.02534,0.53704,0.4107,0.81617,3.33587,0.97765,0.000377206,0.000377206,0.000377206
17,100.929,0.83483,1.70934,0.95752,1,0.02375,0.59327,0.44074,0.90596,3.28298,0.99224,0.000396873,0.000396873,0.000396873
18,106.431,0.87264,1.83221,0.98698,0.80138,0.07356,0.61051,0.44305,0.98445,3.26561,1.02524,0.000415975,0.000415975,0.000415975
19,111.939,1.06941,1.65528,1.03379,1,0.05703,0.59946,0.42328,0.96649,3.31966,1.03526,0.00043451,0.00043451,0.00043451
20,117.472,0.96916,1.46282,1.00701,1,0.04223,0.5451,0.37955,0.91873,3.37202,1.03873,0.00045248,0.00045248,0.00045248
21,122.978,0.9078,1.61548,0.97883,0.75246,0.07483,0.50306,0.34883,0.90388,3.40041,1.04441,0.000469884,0.000469884,0.000469884
22,128.406,0.91801,1.90408,1.02855,0.00581,0.93214,0.49966,0.35045,0.9061,3.39366,1.04799,0.000486722,0.000486722,0.000486722
23,133.805,1.1022,1.59112,1.04093,0.51758,0.69558,0.50686,0.3613,0.93052,3.40108,1.05412,0.000502994,0.000502994,0.000502994
24,139.174,0.93345,1.45055,0.97973,0.66667,0.01315,0.52909,0.39597,0.91498,3.39524,1.03768,0.0005187,0.0005187,0.0005187
25,144.602,0.84507,1.36969,0.97054,0.66667,0.01309,0.5763,0.42328,0.91995,3.35582,1.04575,0.00053384,0.00053384,0.00053384
26,150.012,1.01538,1.46301,1.01342,1,0.07597,0.60751,0.44838,0.97797,3.23707,1.07586,0.000548414,0.000548414,0.000548414
27,155.525,0.85304,1.48048,0.98855,0.9432,0.20272,0.65654,0.47084,0.96245,3.181,1.05309,0.000562423,0.000562423,0.000562423
28,161.024,0.82607,1.21733,0.94244,0.9432,0.20272,0.65654,0.47084,0.96245,3.181,1.05309,0.000575866,0.000575866,0.000575866
29,166.602,0.92268,1.3371,0.98475,0.86383,0.31714,0.66645,0.47532,0.96935,3.10679,1.05894,0.000588742,0.000588742,0.000588742
30,172.301,0.93556,1.38169,1.04321,0.64868,0.3386,0.63826,0.4536,0.95086,3.0717,1.05197,0.000601053,0.000601053,0.000601053
31,177.916,0.88285,1.36992,0.96775,0.64868,0.3386,0.63826,0.4536,0.95086,3.0717,1.05197,0.000612798,0.000612798,0.000612798
32,183.489,0.77361,1.34084,0.94566,0.51687,0.3337,0.61164,0.45851,0.95454,3.06806,1.05609,0.000623977,0.000623977,0.000623977
33,188.955,0.88999,1.64816,0.94274,0.4783,0.33913,0.51876,0.37446,0.9647,3.11976,1.05568,0.00063459,0.00063459,0.00063459
34,194.392,0.74951,1.42719,0.96297,0.4783,0.33913,0.51876,0.37446,0.9647,3.11976,1.05568,0.000644638,0.000644638,0.000644638
35,199.775,0.79827,1.29135,0.95632,0.49056,0.3223,0.55583,0.41341,0.96504,2.99208,1.05772,0.000654119,0.000654119,0.000654119
36,205.11,0.75628,1.31598,0.927,0.58956,0.55658,0.65078,0.47058,1.02551,2.70454,1.08609,0.000663035,0.000663035,0.000663035
37,210.447,0.877,1.40765,1.01154,0.58956,0.55658,0.65078,0.47058,1.02551,2.70454,1.08609,0.000671384,0.000671384,0.000671384
38,215.884,0.79775,1.24628,0.93585,0.69751,0.66535,0.76478,0.55214,1.00078,2.46524,1.07943,0.000679168,0.000679168,0.000679168
39,221.325,0.84817,1.52401,0.96879,0.73583,0.73144,0.81632,0.58346,0.9588,2.38877,1.05841,0.000686386,0.000686386,0.000686386
40,226.728,0.95461,1.31541,0.99601,0.73583,0.73144,0.81632,0.58346,0.9588,2.38877,1.05841,0.000693038,0.000693038,0.000693038
41,232.173,0.82052,1.30479,0.93831,0.67693,0.64938,0.73957,0.52186,0.95399,2.53997,1.06602,0.000699124,0.000699124,0.000699124
42,237.635,0.88074,1.31233,0.94585,0.65379,0.67381,0.73046,0.50691,0.97951,2.58627,1.0645,0.000704644,0.000704644,0.000704644
43,243.101,0.85274,1.44812,0.95419,0.65379,0.67381,0.73046,0.50691,0.97951,2.58627,1.0645,0.000709599,0.000709599,0.000709599
44,248.527,0.79215,1.39121,0.9476,0.71836,0.71121,0.76331,0.52373,1.01763,2.52237,1.06388,0.000713987,0.000713987,0.000713987
45,253.979,0.80462,1.45095,0.9705,0.71836,0.71121,0.76331,0.52373,1.01763,2.52237,1.06388,0.00071781,0.00071781,0.00071781
46,259.475,0.93298,1.38885,1.00108,0.78823,0.74932,0.80249,0.567,0.99323,2.29493,1.06162,0.000721066,0.000721066,0.000721066
47,264.966,0.87598,1.281,0.9808,0.78823,0.74932,0.80249,0.567,0.99323,2.29493,1.06162,0.000723757,0.000723757,0.000723757
48,270.321,0.80854,1.15577,0.93462,0.82556,0.76943,0.81647,0.59829,0.9422,2.01096,1.03987,0.000725882,0.000725882,0.000725882
49,275.854,0.80023,1.27524,0.95061,0.82556,0.76943,0.81647,0.59829,0.9422,2.01096,1.03987,0.000727441,0.000727441,0.000727441
50,281.338,0.8697,1.1368,0.99916,0.82159,0.81095,0.85547,0.64271,0.89723,1.83089,1.01943,0.000728434,0.000728434,0.000728434
51,286.738,0.89556,1.33482,1.0235,0.82159,0.81095,0.85547,0.64271,0.89723,1.83089,1.01943,0.000721645,0.000721645,0.000721645
52,292.211,0.72029,1.11097,0.932,0.8232,0.79748,0.78565,0.6005,0.87045,1.92537,1.01335,0.000707498,0.000707498,0.000707498
53,297.625,0.78435,1.23218,0.91831,0.8232,0.79748,0.78565,0.6005,0.87045,1.92537,1.01335,0.000693351,0.000693351,0.000693351
54,303.053,0.81559,1.20722,0.94566,0.84711,0.78017,0.74607,0.56866,0.88331,2.051,1.00323,0.000679204,0.000679204,0.000679204
55,308.292,0.70787,1.22001,0.92205,0.84711,0.78017,0.74607,0.56866,0.88331,2.051,1.00323,0.000665057,0.000665057,0.000665057
56,313.641,0.73834,1.19456,0.93387,0.84377,0.75212,0.75111,0.56769,0.89574,2.06717,1.01495,0.000650909,0.000650909,0.000650909
57,318.96,0.74308,1.11429,0.94536,0.84377,0.75212,0.75111,0.56769,0.89574,2.06717,1.01495,0.000636762,0.000636762,0.000636762
58,324.341,0.83429,1.17662,0.93184,0.84623,0.74369,0.78111,0.55383,0.95978,2.003,1.03191,0.000622615,0.000622615,0.000622615
59,329.683,0.92887,1.19982,0.98046,0.84623,0.74369,0.78111,0.55383,0.95978,2.003,1.03191,0.000608468,0.000608468,0.000608468
60,335.098,0.75099,1.18409,0.97617,0.88918,0.75594,0.78012,0.54506,0.98769,1.88949,1.02919,0.000594321,0.000594321,0.000594321
